Iris-setosa 0.2222 0.6250 0.0677 0.0416
Iris-setosa 0.1666 0.4166 0.0677 0.0416
Iris-setosa 0.1111 0.5000 0.0508 0.0416
Iris-setosa 0.0833 0.4583 0.0847 0.0416
Iris-setosa 0.1944 0.6666 0.0677 0.0416
Iris-setosa 0.3055 0.7916 0.1186 0.1250
Iris-setosa 0.0833 0.5833 0.0677 0.0833
Iris-setosa 0.1944 0.5833 0.0847 0.0416
Iris-setosa 0.0277 0.3750 0.0677 0.0416
Iris-setosa 0.1666 0.4583 0.0847 0
Iris-setosa 0.3055 0.7083 0.0847 0.0416
Iris-setosa 0.1388 0.5833 0.1016 0.0416
Iris-setosa 0.1388 0.4166 0.0677 0
Iris-setosa 0 0.4166 0.0169 0
Iris-setosa 0.4166 0.8333 0.0338 0.0416
Iris-setosa 0.3888 1.0000 0.0847 0.1250
Iris-setosa 0.3055 0.7916 0.0508 0.1250
Iris-setosa 0.2222 0.6250 0.0677 0.0833
Iris-setosa 0.3888 0.7500 0.1186 0.0833
Iris-setosa 0.2222 0.7500 0.0847 0.0833
Iris-setosa 0.3055 0.5833 0.1186 0.0416
Iris-setosa 0.2222 0.7083 0.0847 0.1250
Iris-setosa 0.0833 0.6666 0 0.0416
Iris-setosa 0.2222 0.5416 0.1186 0.1666
Iris-setosa 0.1388 0.5833 0.1525 0.0416
Iris-setosa 0.1944 0.4166 0.1016 0.0416
Iris-setosa 0.1944 0.5833 0.1016 0.1250
Iris-setosa 0.2500 0.6250 0.0847 0.0416
Iris-setosa 0.2500 0.5833 0.0677 0.0416
Iris-setosa 0.1111 0.5000 0.1016 0.0416
Iris-setosa 0.1388 0.4583 0.1016 0.0416
Iris-setosa 0.3055 0.5833 0.0847 0.1250
Iris-setosa 0.2500 0.8750 0.0847 0
Iris-setosa 0.3333 0.9166 0.0677 0.0416
Iris-setosa 0.1666 0.4583 0.0847 0
Iris-setosa 0.1944 0.5000 0.0338 0.0416
Iris-setosa 0.3333 0.6250 0.0508 0.0416
Iris-setosa 0.1666 0.4583 0.0847 0
Iris-setosa 0.0277 0.4166 0.0508 0.0416
Iris-setosa 0.2222 0.5833 0.0847 0.0416
Iris-setosa 0.1944 0.6250 0.0508 0.0833
Iris-setosa 0.0555 0.1250 0.0508 0.0833
Iris-setosa 0.0277 0.5000 0.0508 0.0416
Iris-setosa 0.1944 0.6250 0.1016 0.2083
Iris-setosa 0.2222 0.7500 0.1525 0.1250
Iris-setosa 0.1388 0.4166 0.0677 0.0833
Iris-setosa 0.2222 0.7500 0.1016 0.0416
Iris-setosa 0.0833 0.5000 0.0677 0.0416
Iris-setosa 0.2777 0.7083 0.0847 0.0416
Iris-setosa 0.1944 0.5416 0.0677 0.0416
Iris-versicolor 0.7500 0.5000 0.6271 0.5416
Iris-versicolor 0.5833 0.5000 0.5932 0.5833
Iris-versicolor 0.7222 0.4583 0.6610 0.5833
Iris-versicolor 0.3333 0.1250 0.5084 0.5000
Iris-versicolor 0.6111 0.3333 0.6101 0.5833
Iris-versicolor 0.3888 0.3333 0.5932 0.5000
Iris-versicolor 0.5555 0.5416 0.6271 0.6250
Iris-versicolor 0.1666 0.1666 0.3898 0.3750
Iris-versicolor 0.6388 0.3750 0.6101 0.5000
Iris-versicolor 0.2500 0.2916 0.4915 0.5416
Iris-versicolor 0.1944 0 0.4237 0.3750
Iris-versicolor 0.4444 0.4166 0.5423 0.5833
Iris-versicolor 0.4722 0.0833 0.5084 0.3750
Iris-versicolor 0.5000 0.3750 0.6271 0.5416
Iris-versicolor 0.3611 0.3750 0.4406 0.5000
Iris-versicolor 0.6666 0.4583 0.5762 0.5416
Iris-versicolor 0.3611 0.4166 0.5932 0.5833
Iris-versicolor 0.4166 0.2916 0.5254 0.3750
Iris-versicolor 0.5277 0.0833 0.5932 0.5833
Iris-versicolor 0.3611 0.2083 0.4915 0.4166
Iris-versicolor 0.4444 0.5000 0.6440 0.7083
Iris-versicolor 0.5000 0.3333 0.5084 0.5000
Iris-versicolor 0.5555 0.2083 0.6610 0.5833
Iris-versicolor 0.5000 0.3333 0.6271 0.4583
Iris-versicolor 0.5833 0.3750 0.5593 0.5000
Iris-versicolor 0.6388 0.4166 0.5762 0.5416
Iris-versicolor 0.6944 0.3333 0.6440 0.5416
Iris-versicolor 0.6666 0.4166 0.6779 0.6666
Iris-versicolor 0.4722 0.3750 0.5932 0.5833
Iris-versicolor 0.3888 0.2500 0.4237 0.3750
Iris-versicolor 0.3333 0.1666 0.4745 0.4166
Iris-versicolor 0.3333 0.1666 0.4576 0.3750
Iris-versicolor 0.4166 0.2916 0.4915 0.4583
Iris-versicolor 0.4722 0.2916 0.6949 0.6250
Iris-versicolor 0.3055 0.4166 0.5932 0.5833
Iris-versicolor 0.4722 0.5833 0.5932 0.6250
Iris-versicolor 0.6666 0.4583 0.6271 0.5833
Iris-versicolor 0.5555 0.1250 0.5762 0.5000
Iris-versicolor 0.3611 0.4166 0.5254 0.5000
Iris-versicolor 0.3333 0.2083 0.5084 0.5000
Iris-versicolor 0.3333 0.2500 0.5762 0.4583
Iris-versicolor 0.5000 0.4166 0.6101 0.5416
Iris-versicolor 0.4166 0.2500 0.5084 0.4583
Iris-versicolor 0.1944 0.1250 0.3898 0.3750
Iris-versicolor 0.3611 0.2916 0.5423 0.5000
Iris-versicolor 0.3888 0.4166 0.5423 0.4583
Iris-versicolor 0.3888 0.3750 0.5423 0.5000
Iris-versicolor 0.5277 0.3750 0.5593 0.5000
Iris-versicolor 0.2222 0.2083 0.3389 0.4166
Iris-versicolor 0.3888 0.3333 0.5254 0.5000
Iris-virginica 0.5555 0.5416 0.8474 1.0000
Iris-virginica 0.4166 0.2916 0.6949 0.7500
Iris-virginica 0.7777 0.4166 0.8305 0.8333
Iris-virginica 0.5555 0.3750 0.7796 0.7083
Iris-virginica 0.6111 0.4166 0.8135 0.8750
Iris-virginica 0.9166 0.4166 0.9491 0.8333
Iris-virginica 0.1666 0.2083 0.5932 0.6666
Iris-virginica 0.8333 0.3750 0.8983 0.7083
Iris-virginica 0.6666 0.2083 0.8135 0.7083
Iris-virginica 0.8055 0.6666 0.8644 1.0000
Iris-virginica 0.6111 0.5000 0.6949 0.7916
Iris-virginica 0.5833 0.2916 0.7288 0.7500
Iris-virginica 0.6944 0.4166 0.7627 0.8333
Iris-virginica 0.3888 0.2083 0.6779 0.7916
Iris-virginica 0.4166 0.3333 0.6949 0.9583
Iris-virginica 0.5833 0.5000 0.7288 0.9166
Iris-virginica 0.6111 0.4166 0.7627 0.7083
Iris-virginica 0.9444 0.7500 0.9661 0.8750
Iris-virginica 0.9444 0.2500 1.0000 0.9166
Iris-virginica 0.4722 0.0833 0.6779 0.5833
Iris-virginica 0.7222 0.5000 0.7966 0.9166
Iris-virginica 0.3611 0.3333 0.6610 0.7916
Iris-virginica 0.9444 0.3333 0.9661 0.7916
Iris-virginica 0.5555 0.2916 0.6610 0.7083
Iris-virginica 0.6666 0.5416 0.7966 0.8333
Iris-virginica 0.8055 0.5000 0.8474 0.7083
Iris-virginica 0.5277 0.3333 0.6440 0.7083
Iris-virginica 0.5000 0.4166 0.6610 0.7083
Iris-virginica 0.5833 0.3333 0.7796 0.8333
Iris-virginica 0.8055 0.4166 0.8135 0.6250
Iris-virginica 0.8611 0.3333 0.8644 0.7500
Iris-virginica 1.0000 0.7500 0.9152 0.7916
Iris-virginica 0.5833 0.3333 0.7796 0.8750
Iris-virginica 0.5555 0.3333 0.6949 0.5833
Iris-virginica 0.5000 0.2500 0.7796 0.5416
Iris-virginica 0.9444 0.4166 0.8644 0.9166
Iris-virginica 0.5555 0.5833 0.7796 0.9583
Iris-virginica 0.5833 0.4583 0.7627 0.7083
Iris-virginica 0.4722 0.4166 0.6440 0.7083
Iris-virginica 0.7222 0.4583 0.7457 0.8333
Iris-virginica 0.6666 0.4583 0.7796 0.9583
Iris-virginica 0.7222 0.4583 0.6949 0.9166
Iris-virginica 0.4166 0.2916 0.6949 0.7500
Iris-virginica 0.6944 0.5000 0.8305 0.9166
Iris-virginica 0.6666 0.5416 0.7966 1.0000
Iris-virginica 0.6666 0.4166 0.7118 0.9166
Iris-virginica 0.5555 0.2083 0.6779 0.7500
Iris-virginica 0.6111 0.4166 0.7118 0.7916
Iris-virginica 0.5277 0.5833 0.7457 0.9166
Iris-virginica 0.4444 0.4166 0.6949 0.7083
